Signature,Low_n,High_n,Low_median,High_median,Delta_median_high_minus_low,P_value,Significance
Hypoxia,2673,2674,0.22251283884048462,0.40286519050598146,0.18035235166549685,1.3094548442747428e-134,***
Glycolysis,2673,2674,0.45250994767118624,0.6360080234156359,0.18349807574444965,8.697356610839845e-129,***
EMT,2673,2674,0.14509535837173462,0.10093378114700317,-0.04416157722473145,3.497139153458905e-11,***
MHC_I,2673,2674,0.9045190175374348,-5.833705266311551e-05,-0.9045773545900979,2.7756556897645225e-125,***
IFNG_Response,2673,2674,-0.09384165816570646,-0.14623985777569604,-0.05239819960998958,5.821467584293192e-52,***
Antigen_presentation,2673,2674,0.7286146817888532,-0.0716821936198643,-0.8002968754087175,2.5763732255325356e-132,***
Cell_cycle,2673,2674,-0.05249892234802246,-0.0509075991880326,0.0015913231599898603,0.10187082649882993,ns
Stress_UPR,2673,2674,0.32651542822519936,0.7190500895182291,0.3925346612930298,9.598629617233677e-159,***
