Sample,Response,Malignant cells,Combined-high n,Combined-high %,Combined-low n,Combined-low %,response_order
scRNAseq-296,Resistant,0,570,inf,1372,inf,0
scRNAseq-297,Resistant,3405,2104,61.79148311306901,1301,38.20851688693098,0
