Rloop_sample_group,celltype,Signature,Score
R-loop-low-enriched,T cell,Cytotoxicity,0.4441883665377365
R-loop-low-enriched,T cell,Cytotoxicity,1.171565849132875
R-loop-low-enriched,T cell,Cytotoxicity,0.23578362503634986
R-loop-low-enriched,T cell,Cytotoxicity,0.5697299640143368
R-loop-low-enriched,T cell,Cytotoxicity,0.7838088180024374
R-loop-low-enriched,T cell,Cytotoxicity,1.0630230773765392
R-loop-low-enriched,T cell,Cytotoxicity,0.8109419062213925
R-loop-low-enriched,T cell,Cytotoxicity,0.6476620825864571
R-loop-low-enriched,T cell,Cytotoxicity,2.0085929965380553
R-loop-low-enriched,T cell,Cytotoxicity,-0.15125575751365228
R-loop-low-enriched,T cell,Cytotoxicity,0.9258446208153737
R-loop-low-enriched,T cell,Cytotoxicity,0.9126437082851098
R-loop-low-enriched,T cell,Cytotoxicity,0.1635709837527578
R-loop-low-enriched,T cell,Cytotoxicity,-0.1852698692908654
R-loop-low-enriched,T cell,Cytotoxicity,0.8082865317700528
R-loop-low-enriched,T cell,Cytotoxicity,1.493900449436587
R-loop-low-enriched,T cell,Cytotoxicity,-0.27599487815014895
R-loop-low-enriched,T cell,Cytotoxicity,0.2748330982461593
R-loop-low-enriched,T cell,Cytotoxicity,0.6064145541111362
R-loop-low-enriched,T cell,Cytotoxicity,1.523473921883807
R-loop-low-enriched,T cell,Cytotoxicity,-0.22001203964386495
R-loop-low-enriched,T cell,Cytotoxicity,1.2409479466569064
R-loop-low-enriched,T cell,Cytotoxicity,1.30922476344284
R-loop-low-enriched,T cell,Cytotoxicity,0.08737519011791395
R-loop-low-enriched,T cell,Cytotoxicity,-0.17684528261522783
R-loop-low-enriched,T cell,Cytotoxicity,1.3566582083303393
R-loop-low-enriched,T cell,Cytotoxicity,0.5815362253658406
R-loop-low-enriched,T cell,Cytotoxicity,-0.20092635649103782
R-loop-low-enriched,T cell,Cytotoxicity,0.8233263801286737
R-loop-low-enriched,T cell,Cytotoxicity,1.356055553142841
R-loop-low-enriched,T cell,Cytotoxicity,0.8811504042325156
R-loop-low-enriched,T cell,Cytotoxicity,0.2129928743332354
R-loop-low-enriched,T cell,Cytotoxicity,-0.15935841691135164
R-loop-low-enriched,T cell,Cytotoxicity,-0.09431587015107323
R-loop-low-enriched,T cell,Cytotoxicity,0.5922255873737071
R-loop-low-enriched,T cell,Cytotoxicity,0.9127094320742866
