Signature,n_low,n_high,median_low,median_high,delta_median_high_minus_low,p_value,star
Cytotoxicity,686,1715,0.4884268882111733,-0.11735879138959292,-0.6057856796007662,6.473037884880308e-26,***
Exhaustion,686,1715,-0.1827008530900285,-0.15569583789722338,0.027005015192805126,1.0351225456804435e-05,***
Treg,686,1715,-0.21956641264636106,-0.18578348256120777,0.03378293008515329,1.2402163415068887e-07,***
