names,scores,logfoldchanges,pvals,pvals_adj,minus_log10_padj,direction
IDH3A,7.4312825,0.50899106,1.0754968950899777e-13,4.10945107326688e-13,12.386216185854469,High-up
DIP2C,7.372563,1.0067799,1.6737836302978912e-13,6.377652549475368e-13,12.195339144540513,High-up
KIAA0368,7.367924,0.6179148,1.7330551084114015e-13,6.59429882476316e-13,12.180831376421684,High-up
KLHL36,7.326148,0.9015506,2.3686181737882803e-13,8.987590070541085e-13,12.046356744237103,High-up
NR2C1,7.3248434,0.8389104,2.391774673402222e-13,9.062868804070556e-13,12.042734306896676,High-up
RCHY1,7.317721,0.81793237,2.522176623462087e-13,9.54374866384823e-13,12.020281006401953,High-up
USB1,7.3139772,0.80209,2.5934900085553485e-13,9.800020336615785e-13,12.008773023075786,High-up
DNAJB1,7.3134546,0.46843007,2.603602362719e-13,9.824643169818105e-13,12.00768321420375,High-up
AKR1B1,7.304521,1.6486459,2.7825639913797583e-13,1.048546872337862e-12,11.979412150851768,High-up
SYF2,7.2982006,0.32257363,2.9164193373809977e-13,1.0974735027169264e-12,11.959605956518864,High-up
CRISPLD2,7.2493587,3.4373872,4.18749534163404e-13,1.5693055244642248e-12,11.804292496392833,High-up
ERP44,7.2345624,0.39002854,4.670327341636767e-13,1.747854013335842e-12,11.757494843927212,High-up
UBAC1,7.231682,0.45909446,4.770493315255767e-13,1.7828984592720597e-12,11.74887339032637,High-up
MED24,7.2137694,0.66770256,5.442378497876228e-13,2.031226510409543e-12,11.692241643933544,High-up
PI3,7.2028346,1.9871634,5.897355377721488e-13,2.1950374512173167e-12,11.658558065527433,High-up
ATP5G3,7.198726,0.47468907,6.07776695954759e-13,2.2591101133991862e-12,11.64606260021015,High-up
PLA2G2A,7.19777,1.1991628,6.12052731770758e-13,2.271913129344716e-12,11.643608278668548,High-up
CLDND1,7.1814747,0.4858764,6.896351986841677e-13,2.552958486185835e-12,11.592956247227477,High-up
ID1,7.179826,0.91058934,6.980041752463489e-13,2.5804430402882615e-12,11.58830572293835,High-up
DHX36,7.1426563,0.39550328,9.15442539483885e-13,3.366068664697139e-12,11.472877029062836,High-up
C19orf12,7.1395974,0.48578373,9.360462377797707e-13,3.4372020451805557e-12,11.463794938468538,High-up
S100P,7.117723,0.9438651,1.0972459342539297e-12,4.0129530018497135e-12,11.396535926525033,High-up
ACSL3,7.0980973,0.4862902,1.264862345429569e-12,4.60133678790091e-12,11.33711597804275,High-up
HMOX1,7.042368,0.9445782,1.890001847704303e-12,6.839053043613451e-12,11.16500402787111,High-up
ARPP19,7.0389643,0.33973712,1.9367379123259384e-12,6.9896538658843634e-12,11.155544330385714,High-up
ASPM,7.0054216,1.6593112,2.4624347434703776e-12,8.86346735067335e-12,11.052396350721917,High-up
KB-1460A1.5,6.9998384,2.6613252,2.5625796686349247e-12,9.211799545671861e-12,11.035655521115512,High-up
SEC16A,6.9798074,0.63613266,2.9558504516614715e-12,1.059761605503824e-11,10.974791818752502,High-up
EPS8L3,6.959124,1.1386412,3.4239484189607992e-12,1.2259799581390437e-11,10.911516629443025,High-up
CHN2,6.9437685,0.66432554,3.817756363309445e-12,1.36519769431432e-11,10.864804453873777,High-up
PAQR5,6.9315653,2.74522,4.162093446718815e-12,1.4844437723806533e-11,10.828436247921276,High-up
ITPRIPL2,6.9040227,0.7183184,5.055023232129957e-12,1.795880815367886e-11,10.745722488907912,High-up
CXCL8,6.896815,1.2035271,5.3181400905223066e-12,1.886903730819083e-11,10.724250256825306,High-up
SNRPB2,6.894481,0.34522784,5.4061736016943206e-12,1.9156506199518656e-11,10.717683695499074,High-up
RER1,6.8922486,0.3989276,5.4917221804793445e-12,1.9434436524701516e-11,10.711428046633454,High-up
OSBP,6.876018,0.522321,6.154865527596341e-12,2.172492586743308e-11,10.66304169683187,High-up
CSRNP3,6.840668,3.5550945,7.882465316282568e-12,2.775115366505667e-11,10.556718957768203,High-up
FAM220A,6.8150096,1.3825393,9.425751086670695e-12,3.314176572559117e-11,10.47962435697726,High-up
SNRPE,6.8110065,0.48294514,9.691819625039552e-12,3.403348485296665e-11,10.468093579116763,High-up
SDHAF4,6.789367,0.97635466,1.1262651283559059e-11,3.9498797569555007e-11,10.403416125053429,High-up
PSMC3,6.782759,0.46483847,1.1790223099144159e-11,4.1296012188284416e-11,10.384091884620627,High-up
DPF2,6.766091,0.5234534,1.3230851418085077e-11,4.628256859693781e-11,10.334582546511108,High-up
ACHE,6.7648025,0.766807,1.3349125051912354e-11,4.663658521972449e-11,10.331273256587881,High-up
DLST,6.744958,0.40862238,1.530715110713825e-11,5.340885929080677e-11,10.27238669761593,High-up
NARS2,6.7406063,0.7967105,1.577269457302416e-11,5.48929956350344e-11,10.260483068138669,High-up
ATP6AP1,6.713408,0.30768904,1.9013028212894864e-11,6.608599628197044e-11,10.17989055839311,High-up
CCDC3,6.692603,3.9695,2.192348266652834e-11,7.610540615623307e-11,10.118584491975446,High-up
