Signature,Spearman_r,P_value,minus_log10_p
Cell cycle,0.028332395541132475,0.007162177380829165,2.14495492731164
DNA repair,-0.026903987214471497,0.010662230766291667,1.9721519221259565
EMT,0.11504096978556144,6.395635259717581e-28,27.194116311844
IFN response,-0.17002932593180045,2.0991218235643777e-59,58.67796235619297
Antigen presentation,-0.2403537509723916,1.4853490347674968e-118,117.82817148165846
