pseudo_group,RLP1,RLP2,RLP3,RLP4
S025__T cells,0.0735319,0.58126795,0.30955175,0.16999249
S025__TAMs,0.22888777,0.35725638,0.13987046,0.3028051
S026__T cells,0.13568856,0.5247038,0.28773627,0.0
S028__Malignant cells,0.59094423,0.05018205,0.1642146,0.5360702
S028__TAMs,0.3229442,0.15678427,0.14357984,0.17969638
S028__unclassified,0.39204496,0.16893514,0.0,0.26877102
S029__T cells,0.18753701,0.4553584,0.1878009,0.0
S029__unclassified,0.39891917,0.26268503,0.31819662,0.06336191
S029__TAMs,0.33050194,0.3733795,0.2071164,0.047755744
S029__TECs,0.6820188,0.07414387,0.23196849,0.05316309
S029__B cells,0.13938645,0.20703153,0.13335903,0.02871703
S030__TAMs,0.3357986,0.4226746,0.1394172,0.14608492
S030__T cells,0.17861578,0.58345836,0.14820588,0.0
S030__unclassified,0.45564356,0.33330622,0.19305298,0.15613891
S030__B cells,0.20365056,0.37763143,0.03833543,0.025151193
S030__CAFs,0.54519546,0.19210146,0.045893427,0.26622614
S030__TECs,0.6653681,0.15946323,0.17361479,0.21964449
S031__T cells,0.24552037,0.45216218,0.07978577,0.0
S031__unclassified,0.57363474,0.22927997,0.16299632,0.0
S031__TAMs,0.35522097,0.32315344,0.012584808,0.0
S031__TECs,0.7699575,0.046911106,0.14912662,0.0
S031__B cells,0.17046747,0.1320661,0.0,0.0829597
S031__Malignant cells,0.33975345,0.027680127,0.0,0.25896287
S032__T cells,0.26013935,0.37249932,0.17381573,0.0
S032__TECs,0.6181872,0.042362615,0.08829224,0.0
S032__TAMs,0.36959678,0.2966663,0.0,0.0
S032__Malignant cells,0.30383545,0.0,0.11038522,0.22988278
S032__B cells,0.24633639,0.21632363,0.04669095,0.008544671
S032__unclassified,0.37340018,0.24616067,0.15586255,0.011337981
S033__Malignant cells,0.35231188,0.0,0.032100007,0.9058098
S033__unclassified,0.34328,0.02001172,0.0,0.582186
S033__TAMs,0.25666934,0.20881586,0.052737746,0.33027163
S033__B cells,0.10402804,0.16672592,0.06409178,0.3019949
S034__Malignant cells,0.68111265,0.0,0.17647083,0.38280854
S034__unclassified,0.5487449,0.059552338,0.062459175,0.17039514
S034__CAFs,0.5102421,0.08519149,0.0,0.072455026
S034__TECs,0.67517334,0.058202904,0.07689589,0.05130026
S034__TAMs,0.36767796,0.2682216,0.06192156,0.05500603
S034__B cells,0.16055112,0.020560948,0.029678844,0.08256074
S034__T cells,0.18654066,0.380163,0.2263786,0.1390854
S035__unclassified,0.40493116,0.19539957,0.44354236,0.44050083
S035__CAFs,0.34897402,0.19488169,0.3285751,0.41323942
S035__TECs,0.48013186,0.13407217,0.503181,0.3608465
S035__T cells,0.0037112185,0.60371566,0.27269354,0.10785788
S036__T cells,0.0,0.43313417,0.9354414,0.0
S037__Malignant cells,0.13059822,0.0,1.0525004,0.8955072
S037__TAMs,0.055757992,0.34778896,0.9074568,0.2684664
S038__Malignant cells,0.35003835,0.0,1.0003234,0.47057962
S038__unclassified,0.30846202,0.08746159,0.6245233,0.51281303
S039__TECs,0.5133592,0.014634289,0.42489862,0.059886012
S039__unclassified,0.3034627,0.11038001,0.43770644,0.101161554
